atoms,coordinates,charge,total_energy,forces,patience,pred_energy,pred_forces,type
"[83, 83]","[[0.12325994351017651, 0.2108568276072186, 1.4511708735067586], [-0.05741812160542287, 0.1298404946586615, -1.2513187242972463]]",-2,-11684.6689453125,"[[0.10126938160110437, 0.04659197852046741, 1.5374048384713006], [-0.1012702043545696, -0.0465916134236172, -1.5374043242503848]]","[0, 0]",-11684.67279093007,"[[0.10285890611434197, 0.04612209777181431, 1.538510630151242], [-0.10285890611434197, -0.04612209777181431, -1.538510630151242]]",train
"[83, 83]","[[-0.128743701092742, 0.003248603805181424, 1.4096777167572045], [0.03350083934750664, 0.025146597631609133, -1.3469655365209021]]",-2,-11684.736328125,"[[-0.05153290618518806, -0.007319230253450598, 0.9152618079939353], [0.05153203200963124, 0.00731952335937259, -0.9152618079939353]]","[0, 0]",-11684.736119252317,"[[-0.05414892324948048, -0.007308429508982585, 0.9200264214926062], [0.05414892324948048, 0.007308429508982585, -0.9200264214926062]]",train
"[83, 83]","[[-0.1628633974400362, -0.11042626932358102, 1.3451667159756684], [0.05802197497515896, -0.1270678387842604, -1.2744281716706094]]",-2,-11684.48828125,"[[-0.2304058858688948, 0.017762871933379776, 2.741426373278753], [0.2304037775631401, -0.01776300563081788, -2.741426373278753]]","[0, 0]",-11684.501676961205,"[[-0.23058335927604348, 0.017372218666685656, 2.734608374159029], [0.23058335927604348, -0.017372218666685656, -2.734608374159029]]",train
"[83, 83]","[[-0.04129721493109, 0.06697345169562025, 1.5103456124886623], [-0.033161847505192986, 0.02664177896738376, -1.5290635029038977]]",-2,-11684.70703125,"[[0.0027231648458967152, -0.01659784274217397, -1.0719356650551233], [-0.002724413374280225, 0.016596762878250834, 1.0719356650551233]]","[0, 0]",-11684.672317930172,"[[0.0028571525792709202, -0.014164540669051057, -1.067444792457654], [-0.0028571525792709202, 0.014164540669051057, 1.067444792457654]]",train
"[83, 83]","[[-0.002423255875102765, 0.13997980833321785, 1.4718490297443299], [0.008805683681476403, 0.14562433049990078, -1.539647791505978]]",-2,-11684.7314453125,"[[0.003203356678352543, 0.002149004283291546, -0.9492518105268861], [-0.003203801479444692, -0.0021491750046355846, 0.9492523247478019]]","[0, 0]",-11684.700678942609,"[[0.00352007069918232, 0.0017694562331297024, -0.9440501186911137], [-0.00352007069918232, -0.0017694562331297024, 0.9440501186911137]]",train
"[83, 83]","[[-0.057746652793940104, -0.06566822127240435, 1.4520235356876374], [0.05292273300700169, -0.07649444125294963, -1.52658321632444]]",-2,-11684.7529296875,"[[0.03323217460053157, -0.0034927725510545938, -0.7960679708210862], [-0.03323253455517262, 0.003494012337682535, 0.7960679708210862]]","[0, 0]",-11684.727497798824,"[[0.02940857595688116, -0.0028768905720362365, -0.7915159398262498], [-0.02940857595688116, 0.0028768905720362365, 0.7915159398262498]]",train
"[83, 83]","[[0.0349709821367653, -0.008396060458309762, 1.3891526109710115], [-0.08505497469353115, 0.012161038735505201, -1.4718829989886408]]",-2,-11684.791015625,"[[-0.0062823757677117065, 0.0007240857843676814, -0.038466197902827584], [0.006280915380310895, -0.0007227776063579413, 0.038466197902827584]]","[0, 0]",-11684.77878570209,"[[-0.0013764363589909877, 0.0002357451630713348, -0.032809848318763], [0.0013764363589909877, -0.0002357451630713348, 0.032809848318763]]",train
"[83, 83]","[[-0.006675492673139008, -0.057276022866201204, 1.4072135269721284], [-0.08465185770145366, 0.10505529464075165, -1.4394198424784006]]",-2,-11684.7890625,"[[-0.0013105485681619324, -0.000634253447264862, 0.053579248319528115], [0.0013089056323360205, 0.0006354284420574155, -0.05357909405325339]]","[0, 0]",-11684.778648161442,"[[0.0015785245873345597, -0.003286174931161401, 0.05762618920711447], [-0.0015785245873345597, 0.003286174931161401, -0.05762618920711447]]",train
"[83, 83]","[[-0.08070175596381896, 0.04649437004628588, 1.4060578161897104], [0.10479353938211447, -0.09503787152563675, -1.3971554725746924]]",-2,-11684.7763671875,"[[-0.025978085852691776, 0.019148517324081984, 0.39311438248719976], [0.02597585927612646, -0.01915033252391468, -0.3931143310651082]]","[0, 0]",-11684.769746627902,"[[-0.026464107766133563, 0.0201920188129662, 0.3999267928977433], [0.026464107766133563, -0.0201920188129662, -0.3999267928977433]]",train
"[83, 83]","[[0.015633631749643922, 0.0520742710485398, 1.4811032487018656], [0.1031578689778499, -0.043761520901540285, -1.6287165466866071]]",-2,-11684.6298828125,"[[0.04001260932063874, -0.044504832956460336, -1.3285750965854592], [-0.040012686453776106, 0.04450288920139869, 1.3285750965854592]]","[0, 0]",-11684.58463701696,"[[0.03729473549210747, -0.04083635144555193, -1.325117594509657], [-0.03729473549210747, 0.04083635144555193, 1.325117594509657]]",train
"[83, 83]","[[0.056997238000557, 0.06041768368625664, 1.4503525501570649], [-0.05042975561093008, 0.12304250890906765, -1.4617556730030075]]",-2,-11684.78515625,"[[-0.019316266471227205, 0.010887923408952541, -0.4055984321921009], [0.019315875663331216, -0.010886406457250995, 0.4055984321921009]]","[0, 0]",-11684.767381023808,"[[-0.014839441771753826, 0.008650688398868059, -0.40226444916548937], [0.014839441771753826, -0.008650688398868059, 0.40226444916548937]]",train
"[83, 83]","[[-0.05845588186295635, -0.08750201033403905, 1.5238325531361474], [-0.01302968139654957, 0.04001841069680068, -1.2964448762818488]]",-2,-11684.78125,"[[-0.00348912363943623, -0.009841411854415333, 0.29743694765681894], [0.0034873470061722155, 0.009839031011575279, -0.2974369990789105]]","[0, 0]",-11684.773489868683,"[[-0.004896625378450967, -0.013745805801040482, 0.3040060998580139], [0.004896625378450967, 0.013745805801040482, -0.3040060998580139]]",train
"[83, 83]","[[-0.005892780678741946, -0.0482179324553268, 1.4956993400661946], [0.15000513236659305, -0.11881397444438635, -1.446817909936789]]",-2,-11684.7724609375,"[[0.034919256292063064, -0.0170860389374048, -0.6073458094049267], [-0.03491897347055938, 0.01708769987096277, 0.6073458094049267]]","[0, 0]",-11684.750787189245,"[[0.03213145907396233, -0.014550251441118123, -0.6064697772150724], [-0.03213145907396233, 0.014550251441118123, 0.6064697772150724]]",train
"[83, 83]","[[-0.10099711509224461, -0.011341198118085748, 1.4653225160163268], [0.01408160345603497, 0.1622587674160033, -1.5430267005272027]]",-2,-11684.7275390625,"[[0.03907870186223868, 0.05811431684205236, -0.9594745223325603], [-0.039079329211755935, -0.058115550972250234, 0.9594745223325603]]","[0, 0]",-11684.69683933801,"[[0.036734049139351285, 0.055414500134910075, -0.960289177207657], [-0.036734049139351285, -0.055414500134910075, 0.960289177207657]]",train
"[83, 83]","[[-0.0348019349698935, -0.004080185623731623, 1.5298225643109322], [-0.0074140456453113835, 0.105031436927746, -1.5396507490511133]]",-2,-11684.67578125,"[[0.011123560001398827, 0.04676166628046512, -1.1921250339209193], [-0.011124495883465542, -0.04676480302805136, 1.1921250339209193]]","[0, 0]",-11684.636313079483,"[[0.010618194499635225, 0.042302216745943116, -1.1900246954578078], [-0.010618194499635225, -0.042302216745943116, 1.1900246954578078]]",train
"[83, 83]","[[0.06633304160365426, 0.016795893849154264, 1.3436577422204625], [-0.08972363732948735, -0.032077035936118374, -1.5474594029393924]]",-2,-11684.7890625,"[[-0.018804194998876783, -0.00654279266608935, -0.2750156301765922], [0.01880399959492879, 0.0065443199022092126, 0.2750155787545006]]","[0, 0]",-11684.77381548468,"[[-0.014682124643664656, -0.0045980630352633785, -0.2720020865166465], [0.014682124643664656, 0.0045980630352633785, 0.2720020865166465]]",train
"[83, 83]","[[0.11842622661920228, -0.03928953681804728, 1.3029931654692672], [0.10727701795031486, 0.037474329372309025, -1.5348211339954436]]",-2,-11684.7861328125,"[[-0.00019134679639238388, -0.0010524878300203848, 0.16204031796034254], [0.00018958096176760093, 0.0010518831062234296, -0.16204016369406782]]","[0, 0]",-11684.777122032883,"[[0.0006677225870572423, -0.00459736370960358, 0.16995580241621766], [-0.0006677225870572423, 0.00459736370960358, -0.16995580241621766]]",train
"[83, 83]","[[-0.09007726816761677, 0.22814725991344573, 1.4585521685810068], [-0.09400455067422658, -0.09672110806539967, -1.3720587495062515]]",-2,-11684.7880859375,"[[-0.0003912369105016013, 0.01128137440045121, 0.07843211082210448], [0.0003896147492006869, -0.011280016857233555, -0.07843216224419607]]","[0, 0]",-11684.778427378842,"[[0.00011498640321182024, 0.009511779478127794, 0.08287709575645756], [-0.00011498640321182024, -0.009511779478127794, -0.08287709575645756]]",train
"[83, 83]","[[-0.02842770472581298, -0.12792686785199733, 1.3338618224960024], [-0.050290362177018655, 0.059294659735444115, -1.3272500343841107]]",-2,-11684.5869140625,"[[0.017694362280770624, -0.14834224409538022, 2.125177342938039], [-0.017696686559309942, 0.14834383818021915, -2.125177342938039]]","[0, 0]",-11684.596056150756,"[[0.017442920742000604, -0.14937297875121427, 2.1231436895882965], [-0.017442920742000604, 0.14937297875121427, -2.1231436895882965]]",train
"[83, 83]","[[0.19749995672854886, 0.007457257750176686, 1.2637406761302783], [0.06427200459194947, 0.03734019637389899, -1.3467080787081702]]",-2,-11684.443359375,"[[0.15156661492567697, -0.035079682933367606, 3.005499382367581], [-0.1515685689651569, 0.03507832539014995, -3.005499382367581]]","[0, 0]",-11684.45880899683,"[[0.1529741513627238, -0.034311997616695955, 2.9973528568378365], [-0.1529741513627238, 0.034311997616695955, -2.9973528568378365]]",train
"[83, 83]","[[-0.00594944098959521, -0.12382974245939878, 1.4269882585705205], [-0.09784778319034886, 0.021102520816784154, -1.2804116793009135]]",-2,-11684.673828125,"[[0.050214376908413245, -0.07916718962120968, 1.4978725629080905], [-0.050215384781408176, 0.07916729246539284, -1.4978720486871746]]","[0, 0]",-11684.677509783212,"[[0.05089497605235588, -0.08026612767988077, 1.499407407166333], [-0.05089497605235588, 0.08026612767988077, -1.499407407166333]]",train
"[83, 83]","[[0.13112426338388425, -0.04562931334838022, 1.4661213300860734], [0.02848646283177785, 0.004133234664447888, -1.2830643321609214]]",-2,-11684.7255859375,"[[0.034957324066458136, -0.017632177545425544, 1.027029780922029], [-0.034958208526433276, 0.017632455224720064, -1.027029780922029]]","[0, 0]",-11684.726398683662,"[[0.038530481918094016, -0.018680982504424966, 1.0320510365468587], [-0.038530481918094016, 0.018680982504424966, -1.0320510365468587]]",train
"[83, 83]","[[0.021476143271305422, -0.2358469538163906, 1.3443959505570926], [-0.00014966796776032796, -0.001641033443747184, -1.4186436891514533]]",-2,-11684.7470703125,"[[0.005989100152815824, -0.06673343072187166, 0.789406753078093], [-0.005989974328372647, 0.06673343072187166, -0.7894062388571773]]","[0, 0]",-11684.74602511239,"[[0.006216622854626466, -0.06732556116310114, 0.7942719550525896], [-0.006216622854626466, 0.06732556116310114, -0.7942719550525896]]",train
"[83, 83]","[[0.007631679525676516, 0.24525902779812228, 1.312006746972124], [-0.20127944963576938, 0.009431286496176639, -1.3373965907084344]]",-2,-11684.5888671875,"[[0.16822963516892583, 0.18900174332806816, 2.10247860327375], [-0.1682304579223911, -0.1889997892885882, -2.10247860327375]]","[0, 0]",-11684.596673988955,"[[0.16632043528883156, 0.18774956003521556, 2.109269707877462], [-0.16632043528883156, -0.18774956003521556, -2.109269707877462]]",train
"[83, 83]","[[0.11186504579695707, 0.04037357876579126, 1.5626283572477726], [0.22040038238586468, 0.145970437290246, -1.5947829655728007]]",-2,-11684.568359375,"[[0.05354716093438354, 0.05256880422002361, -1.4635601438609467], [-0.05354710951229197, -0.052570861103686715, 1.4635601438609467]]","[0, 0]",-11684.517004193793,"[[0.050027214086607034, 0.04867278081317481, -1.4553462233641352], [-0.050027214086607034, -0.04867278081317481, 1.4553462233641352]]",train
"[83, 83]","[[0.09466778582980137, -0.07358403893833224, 1.341465153105881], [-0.19928022772234666, -0.15232602876680856, -1.438817866513566]]",-2,-11684.7666015625,"[[0.059244522992841664, 0.016409946419548547, 0.5442910122703504], [-0.059246168499772156, -0.016411180549746416, -0.5442910122703504]]","[0, 0]",-11684.762104600964,"[[0.05823798923303961, 0.015600633256211397, 0.5508392133858562], [-0.05823798923303961, -0.015600633256211397, -0.5508392133858562]]",train
"[83, 83]","[[-0.17758777137306095, 0.13309608386320215, 1.4647738234250764], [-0.07612872790541797, -0.20639730800780406, -1.4422583413672179]]",-2,-11684.7802734375,"[[0.017930543947387634, -0.05365704994408538, -0.49033720543576936], [-0.01793022513041985, 0.05365843834055799, 0.49033710259158614]]","[0, 0]",-11684.761211381545,"[[0.0170381118288027, -0.05701144203751992, -0.4881806236370993], [-0.0170381118288027, 0.05701144203751992, 0.4881806236370993]]",train
"[83, 83]","[[-0.09778676930120102, 0.0346677590208931, 1.35917286926873], [-0.0586211727056096, 0.12036105912696449, -1.2817253882607107]]",-2,-11684.525390625,"[[-0.03694608888485849, -0.0806630068431174, 2.5219712846101827], [0.03694424797398, 0.0806639324407658, -2.5219712846101827]]","[0, 0]",-11684.537552997575,"[[-0.03734329067718279, -0.08170614245943315, 2.51802193384406], [0.03734329067718279, 0.08170614245943315, -2.51802193384406]]",train
"[83, 83]","[[0.050918341858499805, 0.02538011144354592, 1.397460321977637], [-0.14123535145667254, -0.09762608151767777, -1.4075328245418128]]",-2,-11684.77734375,"[[0.025111510481003737, 0.015822700991520482, 0.3811772067262289], [-0.02511386047058885, -0.01582468074204623, -0.3811765382390384]]","[0, 0]",-11684.770279860675,"[[0.02654648890969734, 0.01699359757771246, 0.38751646232331916], [-0.02654648890969734, -0.01699359757771246, -0.38751646232331916]]",train
"[83, 83]","[[-0.020950847001315432, 0.04744563586621469, 1.487424025202948], [0.023847452248955667, -0.1132634186595474, -1.3572208870575215]]",-2,-11684.7890625,"[[-0.0001829817590670507, 0.0008955656042568761, 0.0755498511670751], [0.0001812192668782203, -0.0008945109371586147, -0.07554990258916668]]","[0, 0]",-11684.778455100566,"[[-0.0012676836579841129, 0.004547678048540057, 0.08049657974500952], [0.0012676836579841129, -0.004547678048540057, -0.08049657974500952]]",train
"[83, 83]","[[-0.011784242648350506, -0.13043270968746887, 1.4999995947005462], [0.31287556624659113, -0.0015978600756063192, -1.402284500414129]]",-2,-11684.7822265625,"[[0.04674443987978654, 0.02175996253381669, -0.4565235292548389], [-0.04674495410070232, -0.021758630701644823, 0.4565235806769305]]","[0, 0]",-11684.763737726214,"[[0.050854122843536145, 0.02018045686341881, -0.45460850975724953], [-0.050854122843536145, -0.02018045686341881, 0.45460850975724953]]",train
"[83, 83]","[[-0.18692022316723422, 0.0959087745161114, 1.556646361886437], [-0.19880303265680235, -0.17730261766302935, -1.5054568420861978]]",-2,-11684.6728515625,"[[-0.006108815924218188, -0.10472057527735094, -1.1951193423134967], [0.006106867026947388, 0.104717644218131, 1.1951193423134967]]","[0, 0]",-11684.633017123502,"[[-0.004641057882094584, -0.10670792006420693, -1.1959628085479619], [0.004641057882094584, 0.10670792006420693, 1.1959628085479619]]",train
"[83, 83]","[[-0.029847343604382827, 0.033465502636650685, 1.4694624679616455], [0.030016207093229344, 0.0413306362228093, -1.5675361720042087]]",-2,-11684.708984375,"[[0.023602626905626086, 0.0031468602547778043, -1.06269460097767], [-0.023603660489666802, -0.0031481103258240617, 1.06269460097767]]","[0, 0]",-11684.67453878302,"[[0.020867586616013897, 0.002741674264941849, -1.0586547479004074], [-0.020867586616013897, -0.002741674264941849, 1.0586547479004074]]",train
"[83, 83]","[[0.022731474397434084, 0.0987248268588969, 1.4563801074458373], [-0.0022323348889288284, 0.03416657189300742, -1.3548731559365164]]",-2,-11684.775390625,"[[0.001980304855893965, 0.006019038094532441, 0.4005740824682136], [-0.0019826142220267257, -0.006021084693777239, -0.40057377393566407]]","[0, 0]",-11684.769421969071,"[[0.0036287334065700444, 0.009384172654794413, 0.4086431086756181], [-0.0036287334065700444, -0.009384172654794413, -0.4086431086756181]]",train
"[83, 83]","[[0.04132750048591822, 0.029762596228515067, 1.6126859447831552], [0.19848356102181725, 0.10228572453360596, -1.6305491882238115]]",-2,-11684.4453125,"[[0.08294270242903769, 0.03962137976349624, -1.642314647045658], [-0.08294347376041136, -0.03962094781792698, 1.642314647045658]]","[0, 0]",-11684.38260166054,"[[0.07875798366021064, 0.036344607612093786, -1.6253312709708445], [-0.07875798366021064, -0.036344607612093786, 1.6253312709708445]]",train
"[83, 83]","[[-0.015007892633353427, -0.18572663459699135, 1.2685656826714031], [-0.05218184846017082, -0.06083657627312503, -1.2322873317281169]]",-2,-11683.9814453125,"[[0.08106250507258562, -0.2687323648066962, 5.350453202046552], [-0.08106425342369927, 0.2687321076962383, -5.350453202046552]]","[0, 0]",-11684.01024351643,"[[0.07864646016306781, -0.26422157067409635, 5.290888004681278], [-0.07864646016306781, 0.26422157067409635, -5.290888004681278]]",train
"[83, 83]","[[0.015384680639751956, 0.030859425100278105, 1.1852289928434696], [-0.122756621684276, -0.021164543401689977, -1.3790078389282425]]",-2,-11684.2822265625,"[[0.2086023533968842, 0.08102501836782539, 3.875719037685741], [-0.2086046673910052, -0.08102563543292432, -3.875719037685741]]","[0, 0]",-11684.302992402663,"[[0.2077291179830314, 0.07823071673048151, 3.855955072105108], [-0.2077291179830314, -0.07823071673048151, -3.855955072105108]]",train
"[83, 83]","[[-0.05219371784521387, 0.016114961372861565, 1.4285107710115061], [0.06940838296405197, 0.028786141465532235, -1.2788149834657796]]",-2,-11684.6689453125,"[[-0.06703563835407461, -0.007313949204645553, 1.5353921778069441], [0.06703460991224304, 0.007314262879404178, -1.5353921778069441]]","[0, 0]",-11684.673331528968,"[[-0.06901310358446026, -0.007191302275644553, 1.5364944477701086], [0.06901310358446026, 0.007191302275644553, -1.5364944477701086]]",train
"[83, 83]","[[0.09723916291785573, 0.12643147770169139, 1.5579175729285768], [0.09600893263987503, 0.015094128122361113, -1.4795970697309773]]",-2,-11684.70703125,"[[-0.001131455707614639, -0.043781612091673, -1.068516095965197], [0.001130082223548595, 0.04378059393425975, 1.068516095965197]]","[0, 0]",-11684.67245976025,"[[-0.0004318549413365524, -0.03908340205223229, -1.066276559188415], [0.0004318549413365524, 0.03908340205223229, 1.066276559188415]]",train
"[83, 83]","[[-0.12057157047366625, -0.08277896639091353, 1.472634714014508], [-0.014522717053187785, -0.20333989699116983, -1.4761855226406206]]",-2,-11684.76953125,"[[0.025717098169097622, -0.029915861070493655, -0.6405104873680533], [-0.02571772551861487, 0.02991765570148972, 0.6405099731471374]]","[0, 0]",-11684.747230022553,"[[0.023011048451800475, -0.02615995671765497, -0.639850815475368], [-0.023011048451800475, 0.02615995671765497, 0.639850815475368]]",train
"[83, 83]","[[-0.07702261307577252, -0.08840478317134262, 1.2556420536642505], [0.13016878542984137, -0.018636839014468328, -1.4280292977086018]]",-2,-11684.6376953125,"[[-0.13650426154906303, -0.04747336859673902, 1.7670528141324298], [0.13650251319794937, 0.04747532263621898, -1.7670528141324298]]","[0, 0]",-11684.644341053496,"[[-0.1364265242060297, -0.045939156697496014, 1.7670808596292988], [0.1364265242060297, 0.045939156697496014, -1.7670808596292988]]",train
"[83, 83]","[[0.06589090654052694, 0.14404535751747274, 1.3466907201450458], [0.014096875624020342, -0.02892587630361622, -1.3594273549275535]]",-2,-11684.6728515625,"[[0.028701235271961018, 0.09466390540538162, 1.5071043710090597], [-0.02870225857158342, -0.09466354545074059, -1.5071038567881438]]","[0, 0]",-11684.676457459704,"[[0.028864236284091106, 0.09639494117403269, 1.5080894487139036], [-0.028864236284091106, -0.09639494117403269, -1.5080894487139036]]",train
"[83, 83]","[[-0.15728246382366684, 0.004866689942458119, 1.4555137746142417], [0.05487412518185078, 0.06215383659604774, -1.5059717651579072]]",-2,-11684.759765625,"[[0.0530978346981764, 0.015696336343677106, -0.7301402214300561], [-0.05309870887373322, -0.01569467541011914, 0.7301402214300561]]","[0, 0]",-11684.73592953803,"[[0.052373605413513435, 0.014142075097291222, -0.7310811124221955], [-0.052373605413513435, -0.014142075097291222, 0.7310811124221955]]",train
"[83, 83]","[[-0.11318323770460709, 0.10159439412004767, 1.4683755565701437], [0.16974980077195068, -0.17871039081406473, -1.427284453930076]]",-2,-11684.7822265625,"[[0.04191189969969365, -0.04238359968794632, -0.45264584075104575], [-0.0419117351490006, 0.04238504464871965, 0.45264563506267946]]","[0, 0]",-11684.763877358371,"[[0.04413236364267028, -0.0437224043049242, -0.45166984123532217], [-0.04413236364267028, 0.0437224043049242, 0.45166984123532217]]",train
"[83, 83]","[[0.1733366084011725, -0.04026502896449267, 1.3590306172200526], [0.006388337765790847, -0.049547019805347155, -1.345247931557604]]",-2,-11684.66796875,"[[0.09273053760623808, 0.005221923684147746, 1.5429342559786654], [-0.09273141178179489, -0.005221568871715859, -1.5429342559786654]]","[0, 0]",-11684.67234121261,"[[0.09528692034329975, 0.005297762705259767, 1.5434863367123717], [-0.09528692034329975, -0.005297762705259767, -1.5434863367123717]]",train
